,paul15_clusters,n_counts_all,louvain,louvain_anno,dpt_pseudotime,distance,clusters
453,13Baso,3355.0,9,9,0.25088203,0.25088203,9
454,13Baso,2398.0,11,11,0.17355938,0.17355938,11
455,3Ery,6199.0,17,17,0.76934725,0.76934725,17
456,3Ery,2635.0,6,6,0.6691439,0.6691439,6
457,15Mo,1180.0,2,2,0.26182804,0.26182804,2
458,16Neu,1407.0,14,14,0.33018675,0.33018675,14
459,13Baso,1890.0,9,9,0.2958766,0.2958766,9
460,2Ery,4190.0,3,3,0.7028106,0.7028106,3
461,15Mo,1517.0,14,14,0.3071681,0.3071681,14
462,17Neu,441.0,22,22/Baso,0.094679825,0.094679825,22/Baso
463,15Mo,1458.0,2,2,0.28388646,0.28388646,2
464,13Baso,1415.0,0,0,0.13738847,0.13738847,0
465,16Neu,1324.0,14,14,0.4070721,0.4070721,14
466,6Ery,617.0,12,12,0.2837954,0.2837954,12
467,5Ery,2655.0,18,18,0.5844923,0.5844923,18
468,15Mo,2384.0,1,1,0.23311867,0.23311867,1
469,9GMP,1175.0,16,16/Stem,0.06377438,0.06377438,16/Stem
470,13Baso,2379.0,11,11,0.2527409,0.2527409,11
471,15Mo,3347.0,2,2,0.28805876,0.28805876,2
472,13Baso,1205.0,9,9,0.27543047,0.27543047,9
473,6Ery,841.0,7,7,0.24476454,0.24476454,7
474,7MEP,290.0,8,8,0.20322311,0.20322311,8
475,12Baso,678.0,0,0,0.041875757,0.041875757,0
476,15Mo,1643.0,14,14,0.32248563,0.32248563,14
477,2Ery,2847.0,5,5,0.72545415,0.72545415,5
478,13Baso,617.0,0,0,0.1502667,0.1502667,0
479,10GMP,765.0,12,12,0.16846369,0.16846369,12
480,14Mo,1663.0,2,2,0.19422752,0.19422752,2
481,14Mo,1392.0,1,1,0.23680398,0.23680398,1
482,14Mo,1132.0,2,2,0.3451011,0.3451011,2
483,15Mo,2318.0,14,14,0.3870512,0.3870512,14
484,5Ery,1277.0,13,13,0.5043997,0.5043997,13
485,16Neu,2259.0,14,14,0.30827868,0.30827868,14
486,5Ery,1943.0,13,13,0.55195624,0.55195624,13
487,14Mo,2570.0,1,1,0.23263423,0.23263423,1
488,13Baso,1413.0,9,9,0.3174753,0.3174753,9
489,15Mo,3119.0,14,14,0.31268853,0.31268853,14
490,2Ery,2904.0,5,5,0.8329947,0.8329947,5
491,2Ery,2015.0,5,5,0.7444964,0.7444964,5
492,2Ery,2229.0,5,5,0.727639,0.727639,5
493,13Baso,1111.0,9,9,0.25628445,0.25628445,9
494,13Baso,1509.0,11,11,0.22379282,0.22379282,11
495,5Ery,2204.0,7,7,0.5340089,0.5340089,7
496,5Ery,1349.0,7,7,0.490105,0.490105,7
497,9GMP,439.0,16,16/Stem,0.09045458,0.09045458,16/Stem
498,14Mo,2050.0,1,1,0.25831926,0.25831926,1
499,7MEP,342.0,8,8,0.22067791,0.22067791,8
500,14Mo,1648.0,4,4,0.26081297,0.26081297,4
501,11DC,551.0,23,23,inf,inf,23
502,16Neu,1276.0,14,14,0.4094911,0.4094911,14
503,2Ery,4357.0,10,10/Ery,0.7891771,0.7891771,10/Ery
504,2Ery,1963.0,6,6,0.712251,0.712251,6
505,10GMP,367.0,16,16/Stem,0.110295914,0.110295914,16/Stem
506,8Mk,1292.0,20,20/Mk,0.24955481,0.24955481,20/Mk
507,2Ery,2594.0,5,5,0.6168194,0.6168194,5
508,5Ery,2417.0,13,13,0.60898685,0.60898685,13
509,13Baso,3651.0,24,24/Mo,0.31415272,0.31415272,24/Mo
510,13Baso,1810.0,9,9,0.2506851,0.2506851,9
511,12Baso,1291.0,0,0,0.034484472,0.034484472,0
512,7MEP,396.0,8,8,0.24089867,0.24089867,8
513,7MEP,490.0,12,12,0.22366348,0.22366348,12
514,13Baso,918.0,9,9,0.26549602,0.26549602,9
515,6Ery,422.0,12,12,0.25744966,0.25744966,12
516,5Ery,2745.0,13,13,0.65347475,0.65347475,13
517,16Neu,1476.0,19,19/Neu,0.35496846,0.35496846,19/Neu
518,14Mo,1140.0,9,9,0.28492212,0.28492212,9
519,13Baso,1558.0,9,9,0.24366003,0.24366003,9
520,2Ery,4278.0,5,5,0.76228607,0.76228607,5
521,14Mo,925.0,4,4,0.25735152,0.25735152,4
522,5Ery,1513.0,13,13,0.5670944,0.5670944,13
523,7MEP,379.0,8,8,0.22366244,0.22366244,8
524,10GMP,1690.0,0,0,0.17874731,0.17874731,0
525,19Lymph,647.0,21,21,inf,inf,21
526,14Mo,870.0,16,16/Stem,0.184662,0.184662,16/Stem
527,4Ery,3476.0,15,15,0.7606162,0.7606162,15
528,14Mo,2976.0,2,2,0.20038204,0.20038204,2
529,12Baso,935.0,16,16/Stem,0.05622156,0.05622156,16/Stem
530,9GMP,1310.0,0,0,0.057830155,0.057830155,0
531,15Mo,3791.0,2,2,0.28134415,0.28134415,2
532,17Neu,869.0,22,22/Baso,0.36748967,0.36748967,22/Baso
533,7MEP,624.0,8,8,0.21648681,0.21648681,8
534,16Neu,1355.0,2,2,0.31021506,0.31021506,2
535,13Baso,3084.0,9,9,0.2514647,0.2514647,9
536,3Ery,8696.0,15,15,0.6817469,0.6817469,15
537,15Mo,1791.0,2,2,0.26556364,0.26556364,2
538,3Ery,4251.0,3,3,0.7998528,0.7998528,3
539,7MEP,807.0,7,7,0.29501006,0.29501006,7
540,8Mk,1080.0,20,20/Mk,0.40448222,0.40448222,20/Mk
541,19Lymph,503.0,21,21,inf,inf,21
542,3Ery,1927.0,6,6,0.5597849,0.5597849,6
543,13Baso,1343.0,9,9,0.24962975,0.24962975,9
544,9GMP,915.0,0,0,0.056866083,0.056866083,0
545,3Ery,3679.0,15,15,0.6378477,0.6378477,15
546,3Ery,3094.0,6,6,0.59928644,0.59928644,6
547,2Ery,4055.0,10,10/Ery,0.71730065,0.71730065,10/Ery
548,16Neu,1552.0,19,19/Neu,0.4208026,0.4208026,19/Neu
549,14Mo,2850.0,1,1,0.23478623,0.23478623,1
550,16Neu,1555.0,19,19/Neu,0.3974634,0.3974634,19/Neu
551,6Ery,777.0,7,7,0.3667092,0.3667092,7
552,14Mo,1513.0,9,9,0.25750262,0.25750262,9
553,5Ery,1255.0,13,13,0.5552471,0.5552471,13
554,14Mo,1611.0,1,1,0.24489933,0.24489933,1
555,14Mo,2471.0,4,4,0.22364786,0.22364786,4
556,19Lymph,290.0,21,21,inf,inf,21
557,15Mo,1330.0,2,2,0.29916438,0.29916438,2
558,13Baso,801.0,0,0,0.08198309,0.08198309,0
559,14Mo,1104.0,2,2,0.3350239,0.3350239,2
560,13Baso,1762.0,11,11,0.2890987,0.2890987,11
561,17Neu,898.0,22,22/Baso,0.3452859,0.3452859,22/Baso
562,14Mo,1258.0,11,11,0.24263859,0.24263859,11
563,1Ery,3285.0,10,10/Ery,0.92104113,0.92104113,10/Ery
564,2Ery,3692.0,6,6,0.71373427,0.71373427,6
565,5Ery,3803.0,13,13,0.5882485,0.5882485,13
566,6Ery,282.0,12,12,0.23790416,0.23790416,12
567,15Mo,5364.0,1,1,0.30199158,0.30199158,1
568,10GMP,906.0,0,0,0.09335476,0.09335476,0
569,6Ery,577.0,12,12,0.27780756,0.27780756,12
570,10GMP,473.0,0,0,0.05025213,0.05025213,0
571,7MEP,304.0,12,12,0.20730054,0.20730054,12
572,14Mo,1372.0,1,1,0.21415548,0.21415548,1
573,13Baso,3022.0,0,0,0.11997061,0.11997061,0
574,2Ery,3773.0,5,5,0.69955695,0.69955695,5
575,14Mo,5044.0,2,2,0.3062394,0.3062394,2
576,14Mo,2095.0,4,4,0.29500672,0.29500672,4
577,6Ery,357.0,12,12,0.17446315,0.17446315,12
578,13Baso,453.0,0,0,0.082132876,0.082132876,0
579,14Mo,1580.0,9,9,0.30704302,0.30704302,9
580,14Mo,760.0,11,11,0.24409863,0.24409863,11
581,2Ery,2572.0,5,5,0.6571806,0.6571806,5
582,6Ery,1729.0,13,13,0.5110138,0.5110138,13
583,13Baso,1705.0,4,4,0.18048878,0.18048878,4
584,10GMP,543.0,0,0,0.12338553,0.12338553,0
585,15Mo,1111.0,2,2,0.31846532,0.31846532,2
586,16Neu,1775.0,19,19/Neu,0.42399475,0.42399475,19/Neu
587,10GMP,1396.0,0,0,0.06389648,0.06389648,0
588,1Ery,1999.0,10,10/Ery,0.8537027,0.8537027,10/Ery
589,14Mo,2612.0,1,1,0.23533571,0.23533571,1
590,12Baso,1126.0,16,16/Stem,0.08316017,0.08316017,16/Stem
591,10GMP,1125.0,0,0,0.09572703,0.09572703,0
592,12Baso,482.0,16,16/Stem,0.052946635,0.052946635,16/Stem
593,16Neu,1777.0,19,19/Neu,0.40253556,0.40253556,19/Neu
594,10GMP,1631.0,0,0,0.047384296,0.047384296,0
595,13Baso,2207.0,11,11,0.1961969,0.1961969,11
596,16Neu,1524.0,14,14,0.38533127,0.38533127,14
597,6Ery,792.0,12,12,0.28036273,0.28036273,12
598,5Ery,751.0,13,13,0.5767453,0.5767453,13
599,10GMP,1026.0,0,0,0.057018425,0.057018425,0
600,13Baso,2053.0,11,11,0.18874137,0.18874137,11
601,19Lymph,512.0,21,21,inf,inf,21
602,14Mo,1504.0,4,4,0.28825903,0.28825903,4
603,5Ery,1556.0,13,13,0.48163766,0.48163766,13
604,13Baso,1951.0,11,11,0.26675898,0.26675898,11
605,13Baso,2305.0,1,1,0.18056375,0.18056375,1
606,13Baso,1726.0,9,9,0.28025678,0.28025678,9
607,19Lymph,708.0,21,21,inf,inf,21
608,13Baso,1530.0,4,4,0.21974382,0.21974382,4
609,4Ery,4320.0,3,3,0.69036716,0.69036716,3
610,12Baso,695.0,16,16/Stem,0.037769962,0.037769962,16/Stem
611,10GMP,735.0,16,16/Stem,0.035039317,0.035039317,16/Stem
612,11DC,731.0,23,23,inf,inf,23
613,1Ery,3306.0,10,10/Ery,0.9185698,0.9185698,10/Ery
614,19Lymph,526.0,21,21,inf,inf,21
615,3Ery,3041.0,3,3,0.79184216,0.79184216,3
616,6Ery,602.0,7,7,0.3013736,0.3013736,7
617,6Ery,785.0,12,12,0.2534704,0.2534704,12
618,2Ery,4018.0,5,5,0.679847,0.679847,5
619,2Ery,3291.0,10,10/Ery,0.82204306,0.82204306,10/Ery
620,13Baso,1549.0,11,11,0.18877317,0.18877317,11
621,3Ery,2217.0,18,18,0.5809164,0.5809164,18
622,15Mo,1663.0,19,19/Neu,0.3281947,0.3281947,19/Neu
623,2Ery,3617.0,5,5,0.8122778,0.8122778,5
624,10GMP,873.0,0,0,0.06822553,0.06822553,0
625,5Ery,1257.0,13,13,0.48942164,0.48942164,13
626,13Baso,865.0,4,4,0.22739887,0.22739887,4
627,9GMP,514.0,0,0,0.09075388,0.09075388,0
628,9GMP,876.0,0,0,0.07949051,0.07949051,0
629,12Baso,835.0,4,4,0.05485979,0.05485979,4
630,17Neu,677.0,22,22/Baso,0.2765464,0.2765464,22/Baso
631,6Ery,601.0,12,12,0.28898388,0.28898388,12
632,7MEP,374.0,12,12,0.29058793,0.29058793,12
633,6Ery,2154.0,7,7,0.47499275,0.47499275,7
634,14Mo,2141.0,1,1,0.24606743,0.24606743,1
635,14Mo,1085.0,1,1,0.20980984,0.20980984,1
636,19Lymph,474.0,21,21,inf,inf,21
637,13Baso,1881.0,11,11,0.20927641,0.20927641,11
638,13Baso,1261.0,9,9,0.25972068,0.25972068,9
639,2Ery,2881.0,6,6,0.6236597,0.6236597,6
640,13Baso,1021.0,0,0,0.17639431,0.17639431,0
641,7MEP,384.0,12,12,0.260278,0.260278,12
642,3Ery,2710.0,15,15,0.64475846,0.64475846,15
643,13Baso,905.0,0,0,0.17218788,0.17218788,0
644,15Mo,2015.0,2,2,0.3385751,0.3385751,2
645,13Baso,528.0,4,4,0.18749642,0.18749642,4
646,11DC,793.0,23,23,inf,inf,23
647,17Neu,677.0,22,22/Baso,0.3144505,0.3144505,22/Baso
648,13Baso,2219.0,0,0,0.19547576,0.19547576,0
649,14Mo,1030.0,1,1,0.24980225,0.24980225,1
650,2Ery,2539.0,6,6,0.5417349,0.5417349,6
651,11DC,544.0,23,23,inf,inf,23
652,13Baso,1392.0,0,0,0.1322225,0.1322225,0
653,13Baso,887.0,9,9,0.27776772,0.27776772,9
654,2Ery,3514.0,5,5,0.79385537,0.79385537,5
655,2Ery,2690.0,10,10/Ery,0.70196027,0.70196027,10/Ery
656,16Neu,1645.0,14,14,0.33574072,0.33574072,14
657,14Mo,1213.0,11,11,0.26178873,0.26178873,11
658,10GMP,563.0,0,0,0.07167778,0.07167778,0
659,16Neu,1648.0,14,14,0.3471156,0.3471156,14
660,13Baso,1629.0,1,1,0.23036787,0.23036787,1
661,10GMP,1255.0,11,11,0.21721527,0.21721527,11
662,16Neu,2342.0,14,14,0.37980926,0.37980926,14
663,2Ery,1064.0,13,13,0.56258374,0.56258374,13
664,14Mo,2343.0,1,1,0.21798317,0.21798317,1
665,12Baso,385.0,16,16/Stem,0.02764716,0.02764716,16/Stem
666,9GMP,476.0,0,0,0.1981467,0.1981467,0
667,2Ery,3962.0,5,5,0.6134861,0.6134861,5
668,2Ery,6287.0,10,10/Ery,0.8008109,0.8008109,10/Ery
669,2Ery,2373.0,5,5,0.7745614,0.7745614,5
670,6Ery,1645.0,13,13,0.4540487,0.4540487,13
671,13Baso,2881.0,11,11,0.21100543,0.21100543,11
672,14Mo,760.0,4,4,0.21548034,0.21548034,4
673,2Ery,3445.0,6,6,0.69510627,0.69510627,6
674,5Ery,4216.0,6,6,0.7189082,0.7189082,6
675,16Neu,2279.0,19,19/Neu,0.37974766,0.37974766,19/Neu
676,6Ery,584.0,12,12,0.24848841,0.24848841,12
677,13Baso,917.0,4,4,0.22067438,0.22067438,4
678,14Mo,1572.0,9,9,0.30223948,0.30223948,9
679,5Ery,1703.0,7,7,0.5733514,0.5733514,7
680,5Ery,1795.0,13,13,0.5783547,0.5783547,13
681,2Ery,2883.0,10,10/Ery,0.8033389,0.8033389,10/Ery
682,4Ery,4209.0,6,6,0.608382,0.608382,6
683,2Ery,2387.0,5,5,0.7601438,0.7601438,5
684,10GMP,622.0,0,0,0.08964858,0.08964858,0
685,5Ery,2420.0,6,6,0.61853546,0.61853546,6
686,13Baso,1180.0,11,11,0.2770327,0.2770327,11
687,13Baso,1678.0,11,11,0.27481002,0.27481002,11
688,2Ery,2649.0,5,5,0.6935127,0.6935127,5
689,12Baso,702.0,16,16/Stem,0.16782872,0.16782872,16/Stem
690,12Baso,994.0,22,22/Baso,0.16938086,0.16938086,22/Baso
691,15Mo,1314.0,2,2,0.3167598,0.3167598,2
692,13Baso,1983.0,1,1,0.24197376,0.24197376,1
693,13Baso,2511.0,1,1,0.2176564,0.2176564,1
694,13Baso,884.0,24,24/Mo,0.31198838,0.31198838,24/Mo
695,13Baso,1395.0,4,4,0.24359173,0.24359173,4
696,10GMP,1588.0,0,0,0.09816883,0.09816883,0
697,14Mo,1064.0,2,2,0.27496532,0.27496532,2
698,13Baso,2229.0,9,9,0.25133532,0.25133532,9
699,7MEP,414.0,12,12,0.27126488,0.27126488,12
700,13Baso,1130.0,1,1,0.27049795,0.27049795,1
701,9GMP,348.0,8,8,0.1829371,0.1829371,8
702,14Mo,2150.0,9,9,0.30864656,0.30864656,9
703,1Ery,4001.0,10,10/Ery,0.80961555,0.80961555,10/Ery
704,3Ery,5052.0,15,15,0.7205935,0.7205935,15
705,13Baso,2167.0,24,24/Mo,0.30829138,0.30829138,24/Mo
706,13Baso,861.0,9,9,0.23983909,0.23983909,9
707,15Mo,2381.0,19,19/Neu,0.4731858,0.4731858,19/Neu
708,2Ery,1459.0,5,5,0.6527438,0.6527438,5
709,13Baso,3074.0,0,0,0.20370829,0.20370829,0
710,5Ery,5143.0,3,3,0.71580017,0.71580017,3
711,14Mo,2162.0,1,1,0.2305432,0.2305432,1
712,3Ery,5502.0,3,3,0.78230023,0.78230023,3
713,6Ery,869.0,7,7,0.4232595,0.4232595,7
714,2Ery,4937.0,3,3,0.71569425,0.71569425,3
715,19Lymph,353.0,21,21,inf,inf,21
716,15Mo,2164.0,2,2,0.30081218,0.30081218,2
717,12Baso,1048.0,16,16/Stem,0.057901062,0.057901062,16/Stem
718,7MEP,412.0,8,8,0.16478088,0.16478088,8
719,2Ery,4123.0,10,10/Ery,0.9324562,0.9324562,10/Ery
720,8Mk,675.0,20,20/Mk,0.35039356,0.35039356,20/Mk
721,14Mo,3217.0,1,1,0.23543483,0.23543483,1
722,14Mo,3663.0,9,9,0.28554112,0.28554112,9
723,8Mk,681.0,8,8,0.1583499,0.1583499,8
724,5Ery,2522.0,18,18,0.5866446,0.5866446,18
725,14Mo,1176.0,4,4,0.2090729,0.2090729,4
726,2Ery,3155.0,10,10/Ery,0.88729054,0.88729054,10/Ery
727,3Ery,5736.0,15,15,0.6962947,0.6962947,15
728,9GMP,1181.0,0,0,0.06672487,0.06672487,0
729,5Ery,2478.0,6,6,0.5660569,0.5660569,6
730,3Ery,4042.0,3,3,0.7007898,0.7007898,3
731,5Ery,2770.0,6,6,0.64435583,0.64435583,6
732,14Mo,3102.0,1,1,0.24862224,0.24862224,1
733,2Ery,4804.0,3,3,0.76482785,0.76482785,3
734,2Ery,3916.0,3,3,0.8773002,0.8773002,3
735,14Mo,1491.0,2,2,0.25582945,0.25582945,2
736,16Neu,1718.0,2,2,0.31289053,0.31289053,2
737,9GMP,387.0,8,8,0.21374615,0.21374615,8
738,16Neu,2834.0,19,19/Neu,0.44031462,0.44031462,19/Neu
739,15Mo,3777.0,14,14,0.35190842,0.35190842,14
740,10GMP,1913.0,0,0,0.13531071,0.13531071,0
741,3Ery,6223.0,3,3,0.72739285,0.72739285,3
742,14Mo,2476.0,11,11,0.29090837,0.29090837,11
743,8Mk,953.0,20,20/Mk,0.18809909,0.18809909,20/Mk
744,14Mo,1224.0,4,4,0.27330408,0.27330408,4
745,15Mo,1452.0,1,1,0.24924456,0.24924456,1
746,16Neu,1182.0,2,2,0.28228182,0.28228182,2
747,5Ery,2373.0,6,6,0.57624483,0.57624483,6
748,14Mo,2370.0,4,4,0.19914377,0.19914377,4
749,16Neu,687.0,14,14,0.38067892,0.38067892,14
750,4Ery,1672.0,13,13,0.5768208,0.5768208,13
751,2Ery,3583.0,3,3,0.8389921,0.8389921,3
752,13Baso,1827.0,9,9,0.29405254,0.29405254,9
753,14Mo,3113.0,1,1,0.21266545,0.21266545,1
754,13Baso,1488.0,0,0,0.19423084,0.19423084,0
755,5Ery,1795.0,7,7,0.4229987,0.4229987,7
756,13Baso,1822.0,0,0,0.14745277,0.14745277,0
757,7MEP,403.0,8,8,0.23463143,0.23463143,8
758,15Mo,1907.0,2,2,0.32821012,0.32821012,2
759,6Ery,719.0,7,7,0.31352258,0.31352258,7
760,16Neu,1976.0,14,14,0.2936498,0.2936498,14
761,15Mo,2920.0,2,2,0.27134067,0.27134067,2
762,12Baso,851.0,22,22/Baso,0.09726003,0.09726003,22/Baso
763,6Ery,841.0,7,7,0.37162232,0.37162232,7
764,13Baso,1563.0,24,24/Mo,0.32353842,0.32353842,24/Mo
765,14Mo,1839.0,4,4,0.22633931,0.22633931,4
766,16Neu,1827.0,14,14,0.31224164,0.31224164,14
767,14Mo,2308.0,11,11,0.24517006,0.24517006,11
768,14Mo,1809.0,1,1,0.2182265,0.2182265,1
769,2Ery,2515.0,5,5,0.73144954,0.73144954,5
770,6Ery,886.0,7,7,0.33986038,0.33986038,7
771,6Ery,477.0,12,12,0.26382142,0.26382142,12
772,13Baso,2363.0,0,0,0.18282926,0.18282926,0
773,14Mo,2214.0,11,11,0.23321149,0.23321149,11
774,16Neu,2973.0,14,14,0.35362616,0.35362616,14
775,2Ery,6542.0,17,17,0.7434952,0.7434952,17
776,2Ery,4442.0,10,10/Ery,0.79000515,0.79000515,10/Ery
777,5Ery,4194.0,6,6,0.7262353,0.7262353,6
778,2Ery,3732.0,5,5,0.7990834,0.7990834,5
779,5Ery,2677.0,7,7,0.4887119,0.4887119,7
780,1Ery,3681.0,10,10/Ery,0.8403175,0.8403175,10/Ery
781,13Baso,1998.0,0,0,0.21318074,0.21318074,0
782,14Mo,2065.0,1,1,0.2760878,0.2760878,1
783,14Mo,2174.0,1,1,0.26299065,0.26299065,1
784,16Neu,1992.0,19,19/Neu,0.35434565,0.35434565,19/Neu
785,1Ery,3092.0,10,10/Ery,0.7301028,0.7301028,10/Ery
786,6Ery,4014.0,18,18,0.5730507,0.5730507,18
787,14Mo,2676.0,2,2,0.171689,0.171689,2
788,14Mo,2736.0,1,1,0.22967003,0.22967003,1
789,15Mo,2445.0,4,4,0.2385109,0.2385109,4
790,13Baso,2019.0,24,24/Mo,0.33310318,0.33310318,24/Mo
791,15Mo,1648.0,2,2,0.31005025,0.31005025,2
792,1Ery,5273.0,10,10/Ery,0.8326499,0.8326499,10/Ery
793,8Mk,1380.0,20,20/Mk,0.54301417,0.54301417,20/Mk
794,15Mo,1369.0,19,19/Neu,0.44925857,0.44925857,19/Neu
795,14Mo,2550.0,1,1,0.2510679,0.2510679,1
796,10GMP,1319.0,0,0,0.06749973,0.06749973,0
797,9GMP,1267.0,0,0,0.047157418,0.047157418,0
798,4Ery,2524.0,18,18,0.5456464,0.5456464,18
799,15Mo,2322.0,4,4,0.2777888,0.2777888,4
800,4Ery,332.0,7,7,0.47615412,0.47615412,7
801,11DC,458.0,23,23,inf,inf,23
802,2Ery,3610.0,10,10/Ery,0.8572582,0.8572582,10/Ery
803,14Mo,2104.0,4,4,0.17703083,0.17703083,4
804,14Mo,1055.0,0,0,0.18457942,0.18457942,0
805,8Mk,1385.0,20,20/Mk,0.2070425,0.2070425,20/Mk
806,13Baso,2419.0,0,0,0.15456274,0.15456274,0
807,6Ery,2071.0,7,7,0.48654518,0.48654518,7
808,13Baso,1184.0,11,11,0.24636821,0.24636821,11
809,4Ery,3030.0,6,6,0.5381181,0.5381181,6
810,13Baso,832.0,0,0,0.09224139,0.09224139,0
811,15Mo,1858.0,1,1,0.26720563,0.26720563,1
812,13Baso,1689.0,11,11,0.26145455,0.26145455,11
813,4Ery,4229.0,3,3,0.72577643,0.72577643,3
814,2Ery,2526.0,10,10/Ery,0.7929823,0.7929823,10/Ery
815,16Neu,1551.0,14,14,0.3689332,0.3689332,14
816,2Ery,2123.0,10,10/Ery,0.8528843,0.8528843,10/Ery
817,5Ery,1732.0,13,13,0.53744334,0.53744334,13
818,2Ery,3289.0,10,10/Ery,0.79564494,0.79564494,10/Ery
819,5Ery,1234.0,13,13,0.4978455,0.4978455,13
820,10GMP,1368.0,0,0,0.11056035,0.11056035,0
821,13Baso,2384.0,9,9,0.2780947,0.2780947,9
822,13Baso,1060.0,11,11,0.309187,0.309187,11
823,8Mk,430.0,8,8,0.27464208,0.27464208,8
824,16Neu,2081.0,19,19/Neu,0.4098185,0.4098185,19/Neu
825,13Baso,2324.0,0,0,0.235564,0.235564,0
826,7MEP,325.0,7,7,0.33292642,0.33292642,7
827,4Ery,3829.0,3,3,0.7007337,0.7007337,3
828,13Baso,2684.0,0,0,0.21761347,0.21761347,0
829,6Ery,381.0,12,12,0.26435992,0.26435992,12
830,2Ery,2213.0,5,5,0.7245968,0.7245968,5
831,14Mo,535.0,4,4,0.22375849,0.22375849,4
832,16Neu,2056.0,2,2,0.33005717,0.33005717,2
833,2Ery,3390.0,10,10/Ery,0.73773605,0.73773605,10/Ery
834,13Baso,1561.0,0,0,0.13823009,0.13823009,0
835,14Mo,1427.0,2,2,0.25602177,0.25602177,2
836,6Ery,1306.0,7,7,0.51612955,0.51612955,7
837,2Ery,2734.0,10,10/Ery,0.8372868,0.8372868,10/Ery
838,2Ery,2498.0,6,6,0.7167225,0.7167225,6
839,2Ery,3250.0,5,5,0.77953166,0.77953166,5
840,8Mk,1028.0,16,16/Stem,0.081292495,0.081292495,16/Stem
841,2Ery,2919.0,10,10/Ery,0.8108666,0.8108666,10/Ery
842,4Ery,4272.0,3,3,0.67544025,0.67544025,3
843,14Mo,1199.0,24,24/Mo,0.35062248,0.35062248,24/Mo
844,17Neu,430.0,22,22/Baso,0.11912938,0.11912938,22/Baso
845,5Ery,1338.0,13,13,0.4940774,0.4940774,13
846,13Baso,2153.0,1,1,0.26985794,0.26985794,1
847,7MEP,376.0,8,8,0.20270088,0.20270088,8
848,3Ery,4611.0,15,15,0.6004214,0.6004214,15
849,5Ery,5117.0,15,15,0.61208254,0.61208254,15
850,13Baso,2476.0,9,9,0.3110172,0.3110172,9
851,8Mk,1189.0,20,20/Mk,0.5454097,0.5454097,20/Mk
852,6Ery,565.0,12,12,0.2839003,0.2839003,12
853,5Ery,2666.0,6,6,0.6187697,0.6187697,6
854,5Ery,1781.0,13,13,0.49688742,0.49688742,13
855,11DC,966.0,23,23,inf,inf,23
856,5Ery,2921.0,5,5,0.64174247,0.64174247,5
857,15Mo,733.0,2,2,0.37831157,0.37831157,2
858,2Ery,2843.0,5,5,0.6428129,0.6428129,5
859,2Ery,3511.0,5,5,0.6569271,0.6569271,5
860,15Mo,3068.0,2,2,0.35418063,0.35418063,2
861,15Mo,2253.0,2,2,0.29576552,0.29576552,2
862,13Baso,4392.0,0,0,0.10556158,0.10556158,0
863,14Mo,2572.0,1,1,0.23801212,0.23801212,1
864,14Mo,2460.0,1,1,0.33396575,0.33396575,1
865,14Mo,1553.0,1,1,0.2504087,0.2504087,1
866,5Ery,2422.0,13,13,0.5099073,0.5099073,13
867,7MEP,590.0,12,12,0.25370103,0.25370103,12
868,3Ery,2522.0,18,18,0.6162442,0.6162442,18
869,2Ery,3194.0,3,3,0.7519155,0.7519155,3
870,7MEP,485.0,8,8,0.23032154,0.23032154,8
871,1Ery,3065.0,10,10/Ery,0.9666864,0.9666864,10/Ery
872,14Mo,4259.0,1,1,0.32820767,0.32820767,1
873,2Ery,4199.0,5,5,0.82237715,0.82237715,5
874,15Mo,1461.0,2,2,0.27549446,0.27549446,2
875,13Baso,3647.0,4,4,0.33006045,0.33006045,4
876,4Ery,1927.0,7,7,0.555451,0.555451,7
877,13Baso,7140.0,4,4,0.2960665,0.2960665,4
878,6Ery,1367.0,7,7,0.45698866,0.45698866,7
879,9GMP,1358.0,0,0,0.06027991,0.06027991,0
880,3Ery,3416.0,17,17,0.8044315,0.8044315,17
881,6Ery,1377.0,7,7,0.41455182,0.41455182,7
882,1Ery,2343.0,10,10/Ery,0.9205644,0.9205644,10/Ery
883,4Ery,4201.0,15,15,0.71900064,0.71900064,15
884,13Baso,2847.0,9,9,0.27282336,0.27282336,9
885,9GMP,2021.0,0,0,0.06521318,0.06521318,0
886,7MEP,418.0,8,8,0.23482387,0.23482387,8
887,14Mo,1761.0,1,1,0.29550928,0.29550928,1
888,13Baso,2184.0,0,0,0.13305737,0.13305737,0
889,13Baso,3142.0,9,9,0.32023504,0.32023504,9
890,19Lymph,460.0,21,21,inf,inf,21
891,10GMP,666.0,0,0,0.09636588,0.09636588,0
892,9GMP,871.0,16,16/Stem,0.042032614,0.042032614,16/Stem
893,5Ery,1826.0,7,7,0.49748623,0.49748623,7
894,16Neu,1790.0,14,14,0.39357758,0.39357758,14
895,14Mo,1565.0,1,1,0.30646527,0.30646527,1
896,15Mo,1987.0,2,2,0.27760783,0.27760783,2
897,2Ery,2751.0,3,3,0.70137924,0.70137924,3
898,3Ery,3806.0,3,3,0.75615716,0.75615716,3
899,13Baso,2182.0,0,0,0.20047198,0.20047198,0
900,6Ery,1477.0,7,7,0.47618806,0.47618806,7
901,4Ery,1519.0,13,13,0.67014927,0.67014927,13
902,3Ery,4369.0,3,3,0.72992915,0.72992915,3
903,16Neu,2355.0,14,14,0.3101823,0.3101823,14
904,9GMP,1400.0,16,16/Stem,0.052526377,0.052526377,16/Stem
